CODIGO,NOMBRE,DESCRIPCION,COMPRA,MAYOREO,LLEVAR,COLOCADO,EXISTENCIAS,CANT_MIN,TIPO_MED,PROVEEDOR,CATEGORIA,MARCA1,MODELO1,ANIO1,MARCA2,MODELO2,ANIO2,MARCA3,MODELO3,ANIO3,MARCA4,MODELO4,ANIO4,MARCA5,MODELO5,ANIO5
DW00999GBN,,DAKOTA PICKUP 90-97 2 PTS,,"$1,100.00","$1,230.00","$1,360.00",5,,,CITSA,PARABRISAS,CHRYSLER,,90-97,,,,,,,,,,,,
DW01472GBN,,DAKOTA /DURANGO 97-04 (DW01295)                           VITRO,,"$1,010.00","$1,080.00","$1,380.00",,,,CITSA,PARABRISAS,CHRYSLER,,97-04,,,,,,,,,,,,
DW01590GBN,,DAKOTA /RAIDER CABINA 1/2 YDOBLE CABINA 05-11,,"$1,470.00","$1,620.00","$1,780.00",4,,,CITSA,PARABRISAS,CHRYSLER,,45601,,,,,,,,,,,,
DW01043GBN,,"DYNASTY 4 PTS 88-93 / FIFTH AVENUE, IMPERIAL 4 PTS 90-93",,"$1,300.00","$1,400.00","$1,500.00",4,,,CRINAMEX,PARABRISAS,CHRYSLER,,"88-93, 90-93",,,,,,,,,,,,
DW01555GBN,,DURANGO/ASPEN  05-09,,"$1,540.00","$1,690.00","$1,840.00",9,,,CRINAMEX,PARABRISAS,CHRYSLER,,45540,,,,,,,,,,,,
DW00914GBN,,DODGE PICK UP/DOBLERODADA/RAM CHARGER/VOLTEO 73-93 (DW00796)               VITRO,$619.45,$950.00,"$1,050.00","$1,150.00",6,,,CRINAMEX,PARABRISAS,CHRYSLER,,73-93,,,,,,,,,,,,
DW00760GBN,,DODGE VAN  3PTS 70-79,,"$1,020.00","$1,070.00","$1,400.00",,,,,PARABRISAS,CHRYSLER,,70-79,,,,,,,,,,,,
DW00964GBN,,DODGE VAN 89-93 CON GOMA (27.0X72.0),,$720.00,$780.00,"$1,200.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,89-93,,,,,,,,,,,,
DW01167GTN,,DODGE VAN 94-03 PEGADO (24.5x73.0),,"$1,290.00","$1,450.00","$1,650.00",3,,,CITSA,PARABRISAS,CHRYSLER,,94-03,,,,,,,,,,,,
DW01142GBN,,GRAN CHEROKEE 4PTS 93-98,,"$1,150.00","$1,290.00","$1,450.00",7,,,CITSA,PARABRISAS,CHRYSLER,,93-98,,,,,,,,,,,,
DW01346-GBN,,GRAN CHEROKEE 4PTS 99-04,,"$1,270.00","$1,420.00","$1,600.00",5,,,CITSA,PARABRISAS,CHRYSLER,,99-04,,,,,,,,,,,,
DW01591GTN,,GRAND CHEROKEE 05-10,"$1,210.00","$1,350.00","$1,450.00","$1,650.00",,,,,PARABRISAS,CHRYSLER,,45570,,,,,,,,,,,,
DW01839GTY,,GRAND CHEROKEE /DURANGO 11-13,,"$1,430.00","$1,480.00","$1,760.00",,,,,PARABRISAS,CHRYSLER,,41579,,,,,,,,,,,,
FW02813GBN,,H100 2PTS /CARGO VAN 06-10,,"$1,400.00","$1,530.00","$1,650.00",4,,,CITSA,PARABRISAS,CHRYSLER,,45571,,,,,,,,,,,,
DW04045GBN,,H100 03 / 06 H1000 FW02678 C/GOMA (CLAVE NAGS FW02678),$775.41,"$1,020.00",$117.00,"$1,350.00",4,,,CITSA,PARABRISAS,CHRYSLER,,,,,,,,,,,,,,
FW03484GGN ,,I-10 4PTS 12-14,,"$1,600.00","$1,750.00","$1,950.00",,,,SAINT GOBAINT,PARABRISAS,CHRYSLER,,41974,,,,,,,,,,,,
DW01141GTN,,  ,,$490.00,$550.00,$900.00,,,,CRINAMEX,PARABRISAS,CHRYSLER,,,,,,,,,,,,,,
DW01321GTN,,JEEP WRANGLER 97-,,$510.00,$570.00,$950.00,,,,,PARABRISAS,CHRYSLER,,,,,,,,,,,,,,
DW01668GTN,,JEEP WRANGLER 07-16,,$570.00,$620.00,$920.00,,,,,PARABRISAS,CHRYSLER,,42552,,,,,,,,,,,,
DW00831GBN,,GRAN WAGONNER 89-91 4 PTS (DW00643) ESTA EN CHEVROLET,,"$1,100.00","$1,100.00","$1,300.00",3,,,,PARABRISAS,CHRYSLER,,89-91,,,,,,,,,,,,
DW01759GTN,,JOURNEY 4PTS 09-13 14-18 MISMO PARABRISAS,,"$1,470.00","$1,620.00","$1,850.00",,,,,PARABRISAS,CHRYSLER,,"09-13, 14-18",,,,,,,,,,,,
DW01678GTN,,LIBERTY 4PTS 02-07 (SERIE ALTABLERO) CHECAR,,"$1,120.00","$1,270.00","$1,450.00",4,,,CRINAMEX,PARABRISAS,CHRYSLER,,45475,,,,,,,,,,,,
DW01511GBN,,LIBERTY 4PTS 02-07 (SERIE AL POSTE) DW01419,,"$1,210.00","$1,290.00","$1,460.00",2,,,CRINAMEX,PARABRISAS,CHRYSLER,,45475,,,,,,,,,,,,
DW01511GBN,,LIBERTY 4PTS 02-07 (SERIE AL POSTE) DW01420,,"$1,020.00","$1,170.00","$1,350.00",,,,,,,,45475,,,,,,,,,,,,
DW01723GBN,,LIBERTY 4PTS 08-11 (SERIE AL TABLERO),,"$1,280.00","$1,430.00","$1,580.00",2,,,CITSA,PARABRISAS,CHRYSLER,,45604,,,,,,,,,,,,
DW01179GBN,,NEON 2/4PTS 95-99,,"$1,200.00","$1,350.00","$1,500.00",2,,,CRINAMEX,PARABRISAS,CHRYSLER,,95-99,,,,,,,,,,,,
DW01468GBN,,NEON 2/4PTS 00-05 01349,,"$1,200.00","$1,320.00","$1,500.00",1,,,CRINAMEX,PARABRISAS,CHRYSLER,,00-05,,,,,,,,,,,,
DW01670GBN,,NITRO 4PTS 07-11,,"$1,320.00","$1,470.00","$1,620.00",5,,,CRINAMEX,PARABRISAS,CHRYSLER,,45603,,,,,,,,,,,,
DW01526GBN,,PACIFICA 04-08 4 PTAS,,"$2,090.00","$2,140.00","$2,700.00",5,,,CITSA,PARABRISAS,CHRYSLER,,45508,,,,,,,,,,,,
DW01526GBN,,PACIFICA 04-08 4 PTAS,,"$1,570.00","$1,720.00","$1,880.00",,,,,,,,45508,,,,,,,,,,,,
DW01682GTN,,PATRIOT 4PTS 07-17,,"$1,320.00","$1,480.00","$1,650.00",3,,,CRINAMEX,PARABRISAS,CHRYSLER,,42917,,,,,,,,,,,,
DW00605GBN,,PICK UP /CAMION /VOLTEO  61-71,,$980.00,"$1,150.00","$1,300.00",4,,,CITSA,PARABRISAS,CHRYSLER,,61-71,,,,,,,,,,,,
DW01176GBN,,PICK UP RAM 250/350/150 94-02 (SERIE ANCHO),,"$1,380.00","$1,530.00","$1,680.00",,,,crinamex,PARABRISAS,CHRYSLER,,94-02,,,,,,,,,,,,
DW01473GTN,,PICK UP RAM 250/350/150 94-02 (SERIE ANGOSTO)(DW01381),,"$1,370.00","$1,520.00","$1,700.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,94-02,,,,,,,,,,,,
DW01512GBN,,PICK UP RAM 150/250/350/450/550 CABINA 1/2 Y DOBLE CABINA 03-08 (DW01456),,"$1,440.00","$1,590.00","$1,740.00",,,,CITSA,PARABRISAS,CHRYSLER,,45507,,,,,,,,,,,,
DW01456GBN,,PICK UP RAM 150/250/350/450/550 CABINA 1/2 Y DOBLE CABINA 03-08 ,,"$1,440.00","$1,590.00","$1,740.00",5,,,CRINAMEX,PARABRISAS,CHRYSLER,,45507,,,,,,,,,,,,
DW01553GTN,,PT CRUISER HB/CONBERTIBLE 2/4PTS 01-08  (DW01390GBY),,"$1,780.00","$1,900.00","$2,050.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,45505,,,,,,,,,,,,
DW01028GBN,,PHANTOM 87-94 CHRYSLER                  CHECAR ANTES NO TIENE ETIQUETA,$707.00,"$1,200.00","$1,350.00","$1,500.00",2,,,CITSA,PARABRISAS,CHRYSLER,,87-94,,,,,,,,,,,,
DW00998GBN,,"SHADOW, SUDANCE 2/4 PTAS 87-94 (03205)",,"$1,020.00","$1,170.00","$1,320.00",5,,,CITSA,PARABRISAS,CHRYSLER,,87-94,,,,,,,,,,,,
DW01057GBN,,SPIRIT 2 Y 4 PTS 89-95 ,$660.00,$560.00,$640.00,"$1,250.00",,,,,PARABRISAS,CHRYSLER,,89-95,,,,,,,,,,,,
DW01488GGN,,"SPRINTER VAN 118WB 06, 140WB 06, 158WB 03-06 ESTA EN FORD 1","$1,550.00","$2,200.00","$2,500.00","$2,800.00",2,,,CRINAMEX,PARABRISAS,CHRYSLER,,45446,,,,,,,,,,,,
DW01719GYN,,SPRINTER 170-140  VAN  07-15/CRAFTER VAN,"$2,685.00","$1,980.00","$2,030.00","$2,500.00",1,,,CITSA,PARABRISAS,CHRYSLER,,"170-140, 07-15",,,,,,,,,,,,
DW01198GBN,,STRATUS /SEBRING /CIRRUS /4PTS 01-06 (DW01467)1853,,"$1,380.00","$1,530.00","$1,680.00",1,,,CITSA,PARABRISAS,CHRYSLER,,45444,,,,,,,,,,,,
DW01413GBN,,STRATUS /SEBRING /CIRRUS /4PTS 01-06 (DW01467)1853,,$980.00,"$1,000.00","$1,250.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,45444,,,,,,,,,,,,
DW00859GBN,,"VALIANT,DART,LEB. 4 PTAS. Y GUAYIN 77-78 volare 2 pt",$617.00,"$1,080.00","$1,230.00","$1,400.00",4,,,CITSA,PARABRISAS,CHRYSLER,,77-78,,,,,,,,,,,,
FW02162GBN,,VERNA 2/4 PTS SEDAN 03-06,,"$1,200.00","$1,300.00","$1,400.00",2,,,CRINAMEX,PARABRISAS,CHRYSLER,,45446,,,,,,,,,,,,
FW02162GBN,,VERNA 2/4 PTS SEDAN 03-06 USADO ,,$900.00,"$1,000.00","$1,100.00",,,,USADO,,,,45446,,,,,,,,,,,,
DW00858GBN,,VOLARE 2PTS ,,"$1,050.00","$1,200.00","$1,350.00",4,,,CITSA,PARABRISAS,CHRYSLER,,,,,,,,,,,,,,
DW00859GBN,,VOLARE 4PTS DARK ,,"$1,080.00","$1,230.00","$1,400.00",7,,,CITSA,PARABRISAS,CHRYSLER,,,,,,,,,,,,,,
DW01094GBN,,AEROSTAR CARGO/MINI VAN 90-98,,"$1,500.00","$1,650.00","$1,850.00",2,,,CRINAMEX,PARABRISAS,FORD,,90-98,,,,,,,,,,,,
DW01187GBY,,CONTOUR/MISTIQUE 4 PTAS 95-99         (DW01264),,"$1,260.00","$1,380.00","$1,500.00",1,,,CRINAMEX,PARABRISAS,FORD,,95-99,,,,,,,,,,,,
FW00246,,COURIER 72-82,,"$1,410.00","$1,510.00","$1,600.00",,,,CRINAMEX,PARABRISAS,FORD,,72-82,,,,,,,,,,,,
DW00603CLN,,ECONOLINE VAN /PICK UP 2 PTAS 61-67,,"$1,730.00","$1,830.00","$2,030.00",,,,CRINAMEX,PARABRISAS,FORD,,61-67,,,,,,,,,,,,
DW00837CLN,,ECONOLINE MINIVAN 75-92,,$910.00,"$1,010.00","$1,250.00",,,,CRINAMEX,PARABRISAS,FORD,,75-92,,,,,,,,,,,,
DW01292GBY,,ECONOLINE MINI VAN 92-14 (DW01175)                                                (VITRO),,"$1,350.00","$1,450.00","$1,700.00",,,,CRINAMEX,PARABRISAS,FORD,,92-14,,,,,,,,,,,,
DW01552-GBN,,ECOSPORT 4 PTAS 03-13,,"$1,190.00","$1,340.00","$1,490.00",5,,,CITSA,PARABRISAS,FORD,,41334,,,,,,,,,,,,
DW02005GTM,,ECOSPORT 16-19 4 PTAS DW02420,,"$1,710.00","$1,910.00","$2,100.00",1,,,CRINAMEX,PARABRISAS,FORD,,16-19,,,,,,,,,,,,
DW01653GTY,,EDGE ESPORT/LIMITED 4 PTAS 07-11/LINCON MKX 07-11 4 PTAS ,,"$1,660.00","$1,760.00","$1,980.00",1,,,CITSA,PARABRISAS,FORD,,"07-11, 07-11",,,,,,,,,,,,
DW01397GTY,,ESCAPE / TRIBUTE 4 PTS  01-07 (1579),,"$1,200.00","$1,350.00","$1,480.00",5,,,CRINAMEX,PARABRISAS,FORD,,45474,,,,,,,,,,,,
DW01086GBN,,ESCORT 2 y 4 pts hb 1991-1996,,"$1,330.00","$1,480.00","$1,630.00",6,,,CRINAMEX,PARABRISAS,FORD,,1991-1996,,,,,,,,,,,,
DW01283GBY,,ESCORT SEDAN 2/4 PTAS 97-02,,"$1,070.00","$1,190.00","$1,320.00",,,,CITSA,PARABRISAS,FORD,,97-02,,,,,,,,,,,,
DW01374GBY,,EXCURSION 2000-2005 4 PTAS,,"$1,500.00","$1,600.00","$1,850.00",,,,CRINAMEX,PARABRISAS,FORD,,2000-2005,,,,,,,,,,,,
DW01863GTY,,Expedition EL 4 pts  2007-2011,,"$2,600.00","$2,700.00","$2,950.00",,,,CRINAMEX,PARABRISAS,FORD,,2007-2011,,,,,,,,,,,,
DW01087GBY,,EXPLORER/ESPORT TRAC 2 PTAS 91-94 (LE KDA EL 1206 ),,$940.00,$960.00,"$1,400.00",,,,CRINAMEX,PARABRISAS,FORD,,91-94,,,,,,,,,,,,
DW01206GBY,,EXPLORER/ESPORT TRAC 2 PTAS 95-01 (= AL 1087),,"$1,070.00","$1,240.00","$1,350.00",,,,CRINAMEX,PARABRISAS,FORD,,95-01,,,,,,,,,,,,
DW01474GBY,,EXPLORER/ESPRT TRAC /AVIATOR/MOUNTANIER/4PTAS 02-10(FW01417),,"$1,750.00","$1,900.00","$2,050.00",1,,,CITSA,PARABRISAS,FORD,,45567,,,,,,,,,,,,
DW01474GBY,,EXPLORER/ESPRT TRAC /AVIATOR/MOUNTANIER/4PTAS 02-10(FW01417),,"$1,230.00","$1,330.00","$1,650.00",,,,CITSA,,,,45567,,,,,,,,,,,,
DW01938GBY,,EXPLORER 11-16 4 PTAS (FW01938),,"$1,210.00","$1,310.00","$2,550.00",,,,CRINAMEX,PARABRISAS,FORD,,42675,,,,,,,,,,,,
DW00584GBN,,FALCOM 60-65,$616.02,$920.00,"$1,020.00","$1,220.00",3,,,CITSA,PARABRISAS,FORD,,60-65,,,,,,,,,,,,
DW0884GBN,,FAIRMON SEDAN / WAGON 2/4PTAS 78-83,,"$1,200.00","$1,300.00","$1,500.00",,,,CRINAMEX,PARABRISAS,FORD,,78-83,,,,,,,,,,,,
FW02131GBN,,FIESTA 98-02 2/4 PTAS /COURIER/ IKON 01-07 2 PTAS (FW02236),,$990.00,"$1,120.00","$1,280.00",4,,,CRINAMEX,PARABRISAS,FORD,,"98-02, 01-07",,,,,,,,,,,,
FW02401 GBN,,FIESTA FIRS 4 PTAS SEDAN 03-10                                                                  ,,"$1,240.00","$1,390.00","$1,550.00",5,,,CITSA,PARABRISAS,FORD,,45568,,,,,,,,,,,,
DW01837GTN,,FIESTA HB 4 PTAS 11-16,,"$1,730.00","$1,830.00","$2,100.00",6,,,CRINAMEX,PARABRISAS,FORD,,42675,,,,,,,,,,,,
DW02289GTN,,FIGO 12-17,,"$1,450.00","$1,650.00","$1,900.00",,,,CITSA,PARABRISAS,FORD,,43070,,,,,,,,,,,,
DW01345GBY,,FOCUS 2/4 PTAS 00-05 DW01459,,"$1,100.00","$1,200.00","$1,400.00",,,,CRINAMEX,PARABRISAS,FORD,,00-05,,,,,,,,,,,,
DW01766GTY,,FOCUS SEDAN 2/4 PTAS 06-11,,"$2,560.00","$2,660.00","$2,900.00",,,,CRINAMEX,PARABRISAS,FORD,,45602,,,,,,,,,,,,
DW02002GTN,,FOCUS HATBACK Y SD 2012-2018 4 PTS,,"$1,900.00",,,4,,,CITSA,,,,2012-2018,,,,,,,,,,,,
DW01876GTY,,FOCUS 12 SD/HB 2/4 PTAS (DW01875),,"$2,330.00","$2,430.00","$2,700.00",,,,CRINAMEX,PARABRISAS,FORD,,,,,,,,,,,,,,
DW00602GBN,,PICK UP 61-66,,"$1,000.00","$1,150.00","$1,300.00",4,,,CITSA,PARABRISAS,FORD,,61-66,,,,,,,,,,,,
DW00602GBN,,PICK UP 61-67,,"$1,360.00","$1,460.00","$1,560.00",,,,CRINAMEX,PARABRISAS,FORD,,61-67,,,,,,,,,,,,
DW00819GBN,,PICK UP /DOBLE RODADA /BOLTEO/67-79 (DW00687),$610.77,$870.00,$970.00,"$1,100.00",5,,,CITSA,PARABRISAS,FORD,,67-79,,,,,,,,,,,,
DW01003 GBN,,PICK UP / CAMIONES 80-99 2 Y CAB Y MEDIA ( 1099),$626.40,"$1,100.00","$1,260.00","$1,460.00",5,,,CITSA,PARABRISAS,FORD,,80-99,,,,,,,,,,,,
DW01256GBN,,FORD PICK UP /F-150/ (EXPEDITION 2/4 PTAS 97-02) (DW01582)            (VITRO),$763.52,"$1,280.00","$1,430.00","$1,580.00",,,,CITSA,PARABRISAS,FORD,,97-02,,,,,,,,,,,,
DW01551GTY,,PICKUP/ DOBLE CABINA LOBO  04-08   (DW01548)               (SANGOBAY),,"$1,490.00","$1,640.00","$1,800.00",3,,,CITSA,PARABRISAS,FORD,,45508,,,,,,,,,,,,
DW01747GTY,,F-150/LOBO 2/4 PTAS 09-14,,"$1,720.00","$1,870.00","$2,300.00",1,,,CITSA,PARABRISAS,FORD,,41883,,,,,,,,,,,,
DW02153GTN,,LOBO 2016-2017,"$1,784.11","$3,130.00","$3,230.00","$3,500.00",2,,,CITSA,PARABRISAS,FORD,,2016-2017,,,,,,,,,,,,
DW02153GTN,,LOBO 2016-2018,,"$3,130.00","$3,230.00","$3,500.00",,,,CRINAMEX,PARABRISAS,FORD,,2016-2018,,,,,,,,,,,,
DW01319 GBN,,FORD SERIES 250/550/750/450/350/SUPER DUTY 99-12,$870.00,"$1,280.00","$1,450.00","$1,650.00",1,,,CITSA,PARABRISAS,FORD,,99-12,,,,,,,,,,,,
DW01475GBN,,FORD KA 2 PTAS 98-08,"$1,127.00",$980.00,"$1,130.00","$1,280.00",,,,CITSA,PARABRISAS,FORD,,98-08,,,,,,,,,,,,
DW01622GTN,,FUSION 06-12 4 PTAS                                                                          (VITRO),,"$1,410.00","$1,510.00","$1,700.00",4,,,CITSA,PARABRISAS,FORD,,45632,,,,,,,,,,,,
DW01950GTY,,FUSION HYBRID /ENERGI SEDAN 4 PTAS 13-16,,"$2,950.00","$3,050.00","$3,300.00",,,,CRINAMEX,PARABRISAS,FORD,,13-16,,,,,,,,,,,,
DW00798GBN,,GALAXI/LTD/COSTUM 2/4 PTAS 73-79,,"$1,410.00","$1,510.00","$1,700.00",,,,CRINAMEX,PARABRISAS,FORD,,73-79,,,,,,,,,,,,
DW00899GBN,,GRAND MARQUIS 89-91 WAGON DW01059-1062/CROWN VICTORIA 4 DOOR SEDAN 89-91,,"$1,270.00","$1,370.00","$1,570.00",2,,,CRINAMEX,PARABRISAS,FORD,,"89-91, 1059-1062, 89-91",,,,,,,,,,,,
DW01149GBY,,GRAN MARQUIS /CRUW VICTORIA / MARAUDER 4 PTAS 92-02           (VITRO),,"$1,320.00","$1,420.00","$1,620.00",,,,CRINAMEX,PARABRISAS,FORD,,92-02,,,,,,,,,,,,
DW03441GBN,,IKON SEDAN 2011  4PTAS (3441) HB 12-13 (igual 02401),,"$1,200.00","$1,300.00","$1,500.00",,,,CRINAMEX,PARABRISAS,FORD,,41609,,,,,,,,,,,,
DW00727GBN,,MAVERICK /COME 2/4PTAS 70-77,,"$1,040.00","$1,140.00","$1,340.00",2,,,CRINAMEX,PARABRISAS,FORD,,70-77,,,,,,,,,,,,
DW00654GBN,,MUSTANG 64-67         DW00703                   ,$488.00,$880.00,$980.00,"$1,200.00",4,,,CITSA,PARABRISAS,FORD,,64-67,,,,,,,,,,,,
DW01477GTY,,MONDEO 4 PTAS 01-07,,"$1,250.00","$1,400.00","$1,600.00",1,,,CITSA,PARABRISAS,FORD,,45474,,,,,,,,,,,,
DW01477GTY,,MONDEO 4 PTAS 01-08,,"$1,980.00","$2,080.00","$2,300.00",,,,CRINAMEX,,FORD,,45505,,,,,,,,,,,,
DW00738GBN,,MUSTANGG HARD TOP 2 PTAS 69-70,,"$1,350.00","$1,450.00","$1,650.00",,,,CRINAMEX,PARABRISAS,FORD,,69-70,,,,,,,,,,,,
DW01609GTN,,MUSTANG 2 PTAS COUPE  2005-2010   DW01570,,"$1,520.00","$1,620.00","$1,820.00",8,,,CITSA,PARABRISAS,FORD,,2005-2010,,,,,,,,,,,,
DW00773GBN,,MUSTANGG COMBERTIBLE /COUP 2PTAS 71-73,,"$1,640.00","$1,740.00","$1,940.00",,,,CRINAMEX,PARABRISAS,FORD,,71-73,,,,,,,,,,,,
DW00824GBN,,MUSTANGG 2PTAS 74-79,,$630.00,$850.00,"$1,000.00",2,,,CITSA,PARABRISAS,FORD,,74-79,,,,,,,,,,,,
DW00824GBN,,MUSTANGG 2PTAS 74-80,,"$1,270.00","$1,370.00","$1,570.00",,,,CRINAMEX,,FORD,,74-80,,,,,,,,,,,,
DW00900GBN,,MUSTANGG 2PTAS 80-90,,$900.00,"$1,000.00","$1,200.00",,,,,PARABRISAS,173,,80-90,,,,,,,,,,,,
DW01169GBY,,MUSTANGG 2PTAS COUP 94-98 le keda 1517,,"$1,170.00","$1,290.00","$1,450.00",2,,,,PARABRISAS,FORD,,94-98,,,,,,,,,,,,
DW01517GTY,,MUSTANGG 2PTAS 99-04 le keda 1169,,"$1,770.00","$1,820.00","$2,030.00",,,,,PARABRISAS,FORD,,99-04,,,,,,,,,,,,
DW01570GTY,,MUSTANGG COUP/COMBERTIBLE 05-14,,"$1,820.00","$1,920.00","$2,150.00",,,,CRINAMEX,PARABRISAS,FORD,,41760,,,,,,,,,,,,
FW02317GBN,,PALIO 2/4 PTS HB/SD 04-08,"$1,250.00","$1,500.00","$1,800.00","$2,000.00",6,,,SAINT GOBAN,PARABRISAS,FORD,,45508,,,,,,,,,,,,
DW01090GBN,,RANGER PICK UP /BRONCO MINI PICK UP 84-92(DW00939),$660.00,$970.00,"$1,100.00","$1,250.00",,,,CITSA,PARABRISAS,FORD,,84-92,,,,,,,,,,,,
DW01205 GBN,,RANGER PICK UP CABINA IMEDIA Y DOBLE CABINA 93-10 (DW01317) (DW01150),,$990.00,"$1,140.00","$1,300.00",5,,,CITSA,PARABRISAS,FORD,,93-10,,,,,,,,,,,,
DW02078GTY,,RANGER PICK UP DOBLE CABINA 13-15,,"$1,360.00","$1,440.00","$1,700.00",4,,,CITSA,PARABRISAS,FORD,,13-15,,,,,,,,,,,,
